
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 28.02.22-01:32:33#
56, -6.250000186431294
57, -0.024509528917649757
58, -0.024414062533155423
59, -6.250012109003914
60, -24.999999998939764
61, -24.99999999967346
62, -6.250381499721992
63, -6.250000023445974
64, -0.39062500013261836
65, -1.562501490358981
66, -6.250000005867742
67, -6.262212999528532
68, -1.5625000037184744
69, -0.39062500122403754
70, -24.99999999976441
71, -0.3906250000749234
72, -24.999999999037108
73, -24.99999999894569
74, -6.250000000166773
75, -24.993896856617646
76, -24.99999999908301
77, -1.5625000002407963
78, -6.250000000164513
79, -24.9999999981927
80, -0.0003814697276877804
81, -1.5625000000833866
82, -6.250000000166773
83, -0.0976562732864153
84, -6.250000000026796
85, -6.2530521304763615
86, -24.99999962719561
87, -24.99999999972464
88, -24.999999999952003
89, -24.987794458813784
90, -6.250000000026077
91, -24.99999999976452
92, -24.99999999685973
93, -1.562500000012994
94, -6.250000000120464
95, -0.0003814697265931699
96, -1.562500000002025
97, -0.3906250000010125
98, -24.99999999985138
99, -24.99999999985138
100, -24.999999999992806
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 01.03.22-21:00:59#
0, -23.72937028184105
1, -20.953534117074653
2, -15.176525671574927
3, -24.51038445437004
4, -11.313992529933282
5, -24.671300855649562
6, -6.416061057667292
7, -0.43135177545814485
8, -0.011912729883873494
9, -1.593232131997163
10, -6.400313615769662
11, -6.406491580765639
12, -24.702097378816667
13, -1.6405797346299344
14, -1.5915682292875244
15, -21.85807698606313
16, -24.89894395658653
17, -6.311240498217611
18, -23.343710641787332
19, -24.971901025604502
20, -6.264061548383542
21, -24.97547518911169
22, -0.39288819034693034
23, -0.3941463823986354
24, -0.3910867440406543
25, -0.3910867440406543
26, -24.996307464231496
27, -6.447163847268177
28, -0.09769612512529072
29, -0.3907051419937039
30, -6.250130377807005
31, -6.250319066976525
32, -6.273040530382355e-06
33, -24.99974055607998
34, -24.999743437770032
35, -1.5626125498011993
36, -6.2623427947543115
37, -1.5656182210657485
38, -0.8789532555878635
39, -24.999752474060834
40, -0.09805360497780902
41, -1.5625649097493604
42, -0.006107407076698161
43, -24.99980025358285
44, -7.910402880150943
45, -0.09766949157454961
46, -6.250105833774879
47, -6.250099873622296
48, -0.39065145890479525
49, -6.250100059889741
50, -0.3906501746210266
51, -0.09766847005376149
52, -0.02442035154772615
53, -6.250100900998621
54, -24.99998926546485
55, -6.250096593593404
56, -6.250859189674907
57, -6.646734050621441
