
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 28.02.22-12:56:27#
34, 4427
35, 4409
36, 4370
37, 4475
38, 4368
39, 4451
40, 4307
41, 4373
42, 4345
43, 4395
44, 4381
45, 4392
46, 4215
47, 4315
48, 4375
49, 4218
50, 4652
51, 4421
52, 4445
53, 4422
54, 4430
55, 4344
56, 4358
57, 4275
58, 4379
59, 4370
60, 4292
61, 4347
62, 4286
63, 4299
64, 4359
65, 4356
66, 4318
67, 4290
68, 4521
69, 4490
70, 4494
71, 4373
72, 4346
73, 4314
74, 4396
75, 4296
76, 4238
77, 4356
78, 4251
79, 4324
80, 4238
81, 4297
82, 4373
83, 4825
84, 4341
85, 4278
86, 4396
87, 4352
88, 4469
89, 4407
90, 4432
91, 4349
92, 4290
93, 4302
94, 4328
95, 4251
96, 4239
97, 4319
98, 4241
99, 4406
100, 4256
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 28.02.22-16:19:19#
0, 7842
1, 6550
2, 5703
3, 5548
4, 5053
5, 4651
6, 4778
7, 4720
8, 4827
9, 4822
10, 4504
11, 4449
12, 4428
13, 4361
14, 4439
15, 4441
16, 4361
17, 4360
18, 4368
19, 4354
20, 4388
21, 4363
22, 4270
23, 4210
24, 4304
25, 4240
26, 4219
27, 4214
28, 4313
29, 4254
30, 4334
31, 4283
32, 4364
33, 4282
34, 4221
35, 4296
36, 4249
37, 4341
38, 4276
39, 4260
40, 4237
41, 4416
42, 4396
43, 4322
44, 4224
45, 4434
46, 4210
47, 4273
48, 4355
49, 4229
50, 4269
51, 4365
52, 4236
53, 4412
54, 4294
55, 4282
56, 4322
57, 4211
58, 4314
59, 4211
60, 4271
61, 4286
62, 4269
63, 4241
64, 4242
65, 4317
66, 4247
67, 4247
68, 4197
69, 4256
70, 4201
71, 4348
72, 4209
73, 4364
74, 4252
75, 6063
76, 4213
77, 4332
78, 4336
79, 4350
80, 4310
81, 4340
82, 4428
83, 4344
84, 4325
85, 4411
86, 4398
87, 4339
88, 4295
89, 4364
90, 4266
91, 4309
92, 4241
93, 4230
94, 4367
95, 4253
96, 4286
97, 4236
98, 4210
99, 4247
100, 4244
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 28.02.22-16:21:26#
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 28.02.22-16:24:53#
0, 7.877
1, 6.796
2, 5.698
3, 5.532
4, 4.917
5, 5.249
6, 4.846
7, 4.914
8, 4.922
9, 5.026
10, 4.694
11, 4.73
12, 4.78
13, 4.471
14, 4.67
15, 4.667
16, 4.633
17, 4.606
18, 4.65
19, 4.595
20, 4.608
21, 4.566
22, 4.614
23, 4.693
24, 4.337
25, 4.517
26, 4.534
27, 4.581
28, 4.428
29, 4.547
30, 4.44
31, 4.536
32, 4.817
33, 4.72
34, 4.493
35, 4.341
36, 5.245
37, 4.735
38, 4.424
39, 4.602
40, 4.43
41, 4.65
42, 4.51
43, 4.536
44, 4.633
45, 4.545
46, 4.516
47, 4.792
48, 4.478
49, 4.609
50, 4.593
51, 4.548
52, 4.558
53, 4.511
54, 4.438
55, 4.477
56, 4.368
57, 4.655
58, 4.392
59, 4.681
60, 4.382
61, 4.338
62, 4.393
63, 4.675
64, 4.421
65, 4.88
66, 4.623
67, 4.624
68, 4.679
69, 4.68
70, 4.933
71, 4.59
72, 4.561
73, 4.515
74, 4.443
75, 4.505
76, 4.498
77, 4.492
78, 4.532
79, 4.652
80, 4.441
81, 4.358
82, 4.392
83, 4.305
84, 4.324
85, 4.496
86, 4.349
87, 4.564
88, 4.488
89, 4.448
90, 4.452
91, 4.507
92, 4.605
93, 4.506
94, 4.421
95, 4.412
96, 4.324
97, 4.395
98, 4.708
99, 4.72
100, 4.395
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-14:43:39#
0, 292.3
1, 277.837
2, 294.587
3, 325.98
4, 286.831
5, 290.448
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-19:53:09#
0, 134.325
1, 123.233
2, 144.204
3, 118.653
4, 124.876
5, 138.257
6, 168.556
7, 156.962
8, 172.124
9, 159.23
10, 125.913
11, 153.838
12, 179.485
13, 136.991
14, 125.386
15, 156.385
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-20:14:52#
0, 124.154
1, 172.549
2, 167.119
3, 154.788
4, 225.112
5, 122.879
6, 131.832
7, 118.528
8, 128.716
9, 126.883
10, 138.321
11, 126.905
12, 128.126
13, 190.446
14, 177.79
15, 180.818
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-20:29:27#
0, 3.994
1, 3.467
2, 3.127
3, 3.389
4, 2.991
5, 2.884
6, 2.916
7, 2.793
8, 2.468
9, 2.565
10, 2.401
11, 2.542
12, 2.398
13, 2.424
14, 2.377
15, 2.403
16, 2.376
17, 2.4
18, 2.378
19, 2.404
20, 2.287
21, 2.218
22, 2.201
23, 2.238
24, 2.277
25, 2.176
26, 2.187
27, 2.174
28, 2.202
29, 2.168
30, 2.17
31, 2.161
32, 2.166
33, 2.169
34, 2.179
35, 2.16
36, 2.168
37, 2.165
38, 2.162
39, 2.169
40, 2.239
41, 2.165
42, 2.378
43, 2.228
44, 2.37
45, 2.377
46, 2.161
47, 2.2
48, 2.156
49, 2.277
50, 2.263
51, 2.266
52, 2.269
53, 2.265
54, 2.272
55, 2.275
56, 2.267
57, 2.284
58, 2.282
59, 2.276
60, 2.27
61, 2.33
62, 2.112
63, 2.12
64, 2.188
65, 2.196
66, 2.131
67, 2.478
68, 2.225
69, 2.137
70, 2.31
71, 2.216
72, 2.183
73, 2.115
74, 2.11
75, 2.157
76, 2.159
77, 2.161
78, 2.164
79, 2.149
80, 2.163
81, 2.159
82, 2.166
83, 2.16
84, 2.204
85, 2.161
86, 2.165
87, 2.159
88, 2.198
89, 2.158
90, 2.234
91, 2.163
92, 2.157
93, 2.169
94, 2.159
95, 2.345
96, 2.158
97, 2.17
98, 2.157
99, 2.168
100, 2.164
#GA 4.1.0RePy - GRAPH 'time_quality' OPENED, 01.03.22-21:13:25#
0, 3.79
1, 3.28
2, 2.979
3, 3.245
