
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
41, -99.99828484735923
41, -100.08340861954409
41, -99.99914169559361
41, -100.00944600954854
41, -100.00820178513584
42, -100.14798177513978
41, -106.35690728897268
41, -225.0851320518766
41, -100.40687691581053
42, -99.99561452925991
41, -100.00209876136651
41, -100.53723827058528
42, -126.57229412110443
42, -103.17864737228638
42, -99.9987604719768
42, -106.25404125057126
42, -112.89651478060829
43, -100.52338306499072
42, -106.26930338185124
42, -100.21014649649617
43, -100.06314356519087
42, -100.12077172887216
42, -99.99144165265248
43, -100.0105908863913
42, -100.79302108189034
43, -124.65580351769675
43, -100.03757946427396
43, -100.00400550081861
43, -100.1003983405785
44, -100.10484615432071
43, -100.0097277380751
43, -100.00261103759907
43, -100.1001628921419
43, -100.00209873062553
44, -100.04559087113736
44, -106.27490450383196
43, -125.03338796661374
44, -100.5177635802769
44, -99.99876023514392
44, -112.89084032211001
45, -100.10454204799815
44, -126.57143199342515
44, -106.6478141021389
44, -100.38815534457662
44, -99.99609145991435
44, -100.03643375360488
45, -224.97010349771023
45, -100.7937936638247
44, -200.1913122602088
45, -100.02422684550068
45, -99.98760315259183
45, -100.00066757959304
46, -100.11391412956081
45, -106.2511564282831
45, -100.02782357830733
45, -100.11237588113923
45, -99.99648747630881
45, -100.00029356755537
46, -100.00476853504128
46, -100.02317642040855
45, -101.57619849892512
46, -100.0772652112226
46, -100.00171676467772
46, -100.04912693489277
47, -100.03158518462797
46, -100.01125399551375
46, -100.39616309835658
46, -100.11466485447679
46, -101.4352201269488
46, -106.33645292038962
47, -100.10093174368568
47, -100.41218016352015
46, -101.95976977889417
47, -102.78694687437874
47, -100.06025205046413
47, -100.78536162813809
48, -113.19222969616267
47, -100.00600832602264
47, -125.00572217186368
47, -100.13643133719788
47, -124.99532703595841
48, -100.05241203147393
47, -99.99685499781613
48, -100.40342950831253
47, -125.03280921637804
48, -106.02316623409396
48, -100.78488306093577
48, -106.25118017741784
49, -100.03347708691899
48, -125.00476845843893
48, -156.2504173044944
48, -99.98160434510879
49, -124.94464728171533
48, -100.00488039109761
48, -99.99532729191344
49, -106.35700563955263
48, -100.0033384732217
49, -100.09783298200593
49, -100.39196242517336
49, -100.00219346504767
50, -100.0498836432039
49, -199.90970836176513
49, -100.01325766582187
49, -100.04636315475689
50, -100.00324282275477
49, -100.0020985358114
49, -100.00782221516543
50, -100.40243395023002
49, -101.57542916935004
50, -100.004731136184
50, -106.24629264215753
50, -100.78498049401571
51, -100.00638999129094
50, -106.34913768956308
50, -100.00183454701283
50, -104.83294153903731
51, -100.0063028950018
50, -100.00209823840606
50, -100.4059035467126
51, -100.80144681476665
50, -100.0041248740449
51, -100.03410737886345
51, -99.99914194006625
51, -100.04950326669206
51, -100.00295652018873
52, -101.5688929546108
51, -126.5628486968396
51, -100.07688882885532
52, -99.99189398633959
51, -100.00247957370905
51, -100.0093463258287
52, -101.57698011725226
51, -100.00295644451863
52, -100.002442277443
52, -106.24619727563537
52, -101.52638249654008
52, -100.78459580121567
53, -100.03796258200806
52, -99.98885270156048
52, -100.02742419786745
53, -100.00476856087097
52, -200.0050546716242
52, -199.99742510246966
52, -106.34785909891804
53, -100.01583163587048
53, -101.25038426010141
53, -112.89124563755983
53, -99.99980941422592
53, -225.00959253367637
54, -200.01535446720084
53, -99.99420224682238
53, -100.38891509751801
54, -106.24800921299881
53, -101.75739282043934
53, -124.99976159506335
53, -100.00638972644558
54, -106.35425188061224
54, -106.02435132996052
54, -100.00324252480374
54, -100.00143051831857
55, -100.106363553446
54, -100.78421279425824
54, -99.9766374222692
54, -100.00743880511918
55, -99.99799731533591
54, -100.37934965392061
54, -106.16084390089325
55, -100.02393868101353
54, -106.35543201317486
55, -112.90334896420624
55, -100.00171662788946
55, -100.0247017135991
55, -103.15745649167005
56, -101.57195652550871
55, -99.9896062710175
55, -103.1497077337351
56, -112.89408285243894
55, -100.01239819678257
55, -100.39349126194392
56, -100.00181206244194
55, -200.00276566863704
56, -101.5726010530733
56, -100.00038184327948
56, -100.00247957116247
56, -99.97768548594478
57, -157.82736933019842
56, -100.02996487725419
56, -100.09952804125562
57, -100.00476846082637
56, -100.00514999167109
56, -100.7875636865401
57, -100.00858326122888
56, -99.99294292968013
57, -100.2062587241023
57, -106.34785909236966
