
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:01:44#
16, -5.420232979688091
15, -9.33716753190786
15, -5.880674687466854
16, -5.321026937619504
16, -7.614034393695731
16, -6.355261822653746
16, -4.982708935920553
17, -5.330275032990009
16, -7.201117790333569
15, -4.255259624912448
15, -6.684978438246812
16, -4.060751875963303
17, -5.419037026207588
16, -7.306233272083238
17, -5.477543957214756
17, -3.776842686633625
17, -5.2240255167319765
18, -5.333612159815926
17, -6.00134023997424
17, -10.601584284811986
18, -5.083918935834555
16, -13.27935470493412
16, -5.606761589979825
17, -5.8683249102509345
18, -3.7894397575222474
18, -2.0544273498393264
18, -9.193051888671981
18, -7.017828077387252
19, -4.618749599867752
19, -5.991332681655263
18, -3.730703496988618
17, -5.49455179932902
17, -6.139885851228203
19, -6.501624130817208
18, -6.653687188792668
19, -3.8460906482285733
19, -7.832695892803734
19, -7.087300781918134
20, -5.996205169660845
20, -7.908133458317919
19, -4.152878133334097
18, -10.276485601450126
18, -6.882717058007942
20, -8.972541229148932
19, -6.691494072309511
20, -4.855217772273869
20, -3.1319000237929355
20, -9.28963172544669
20, -7.055315046214676
21, -5.462612311746735
21, -7.053156290938903
20, -8.64991624694586
19, -5.801672194463793
21, -4.309331705093694
21, -5.967906288311171
19, -5.623081443514706
21, -7.946123805455939
22, -5.268267386761383
21, -4.610751732632351
21, -14.161158840318802
22, -8.532298483845171
22, -4.625961249043267
21, -7.763123429928842
20, -5.622290256648403
20, -7.323099312106975
22, -7.079911784575488
22, -4.77786262970257
22, -9.262363680318463
23, -5.8681662906618
22, -6.914296880449562
23, -7.868557297504416
23, -6.835202273420037
21, -9.930691457188477
21, -3.7291253276306726
22, -7.040922325133848
23, -7.042803209466725
23, -4.5920021327646
23, -3.3743093597979623
24, -6.122478975737892
23, -3.754888588849424
24, -9.651869561187507
24, -5.468003466698009
22, -7.952534712368219
24, -4.998884694069638
24, -3.103989473774738
22, -4.581759511680994
23, -3.2635676603323924
25, -6.142769670023481
24, -5.201512237119087
25, -3.056742622516911
25, -10.331245287994893
24, -5.317905762764337
25, -2.0484861862404187
23, -4.880983326787887
24, -5.479014341695258
25, -5.542388791901612
23, -5.247810810784987
26, -8.13796177650118
25, -10.362144766174666
26, -10.507311503073497
26, -11.05042918065338
25, -7.52282392556728
26, -5.242976544367142
26, -7.188855922769468
24, -5.420373252915115
25, -6.0342482625899505
24, -5.650145767580258
26, -9.498064363242685
27, -6.829410174013336
27, -3.133543169850047
27, -8.11743105064456
27, -4.838413269006402
26, -6.187648311704691
27, -8.271105148543423
25, -3.270621836566403
26, -6.133135154400884
28, -9.209363715673431
25, -6.193855497554298
27, -4.9812760085960335
28, -2.5252255790331652
27, -6.723746976911292
29, -6.19188402805847
28, -3.168402022304205
28, -3.3845393677576086
28, -3.225883085896333
26, -3.700309308198819
27, -5.802407577811996
26, -4.650665007849758
28, -8.857041706441011
29, -5.250856689112293
28, -4.084748535396534
30, -8.330789686668979
27, -4.8523465666025505
29, -2.780026736000625
29, -4.54756303934244
29, -7.239311094102507
29, -7.146230443685745
27, -3.231801316542589
28, -6.487046417251703
31, -8.034162646233408
30, -8.406254771726344
30, -5.19694705067896
29, -4.780764412644084
30, -4.467651636982828
30, -6.006653805102401
28, -4.209377284337082
28, -6.608526471793903
29, -5.501895312982254
30, -2.8693444711040006
31, -4.939839603107029
31, -8.39984998026811
32, -3.7408207512644207
30, -4.281058049991923
31, -3.7189610608019463
29, -5.9517030106189175
31, -4.961832686910743
29, -6.159786685318804
32, -7.361169924579257
30, -5.264390953332398
32, -5.751332452325736
31, -7.398308694742334
32, -4.704541393501756
33, -3.0996111908986803
31, -9.540460130584053
32, -5.036365547443028
30, -4.099788730173744
30, -5.074089107898588
32, -6.095986446624985
33, -6.839121132811418
31, -5.1534424750771395
33, -5.538090392143942
33, -9.877973567860998
32, -5.260187343112326
31, -3.4883851283624243
34, -3.376309877700474
33, -5.0339522363928815
31, -7.4861973246799725
32, -5.282295856111009
34, -4.728696290308244
33, -1.9801647159323807
34, -8.01897529834338
33, -4.0344042066679435
34, -5.1555523067206055
32, -5.491650016387505
35, -5.046115492260609
34, -4.468219609776704
34, -2.0552525539187148
33, -4.17232298388291
32, -6.299474739830434
35, -4.452885490989736
35, -3.6044709702263367
35, -6.526789988619529
34, -5.823487165668604
35, -6.7737102364100785
33, -4.525293613459347
36, -6.361931107499171
33, -2.3777326763042397
35, -3.239452896193036
34, -4.17491478974782
36, -3.289272442521897
35, -11.550041135983813
36, -4.2993596928513185
36, -5.1962957548238125
34, -5.017022366317607
36, -3.4027316968760544
34, -6.294731058575543
35, -4.5375199349468565
37, -8.699681136404246
36, -2.6676850808721015
36, -6.308851259735749
37, -3.291736588283744
37, -4.636447341640789
35, -6.170837692983189
37, -9.781836719288238
37, -3.7035680807698634
36, -7.4355930891547235
35, -2.595687076038982
37, -9.6759094110149
38, -2.8865449500204945
37, -6.9009709238826575
38, -1.9311604360700938
38, -3.7943309741058293
38, -2.2803176978373263
36, -6.117330527868799
38, -6.66463002936374
38, -8.513064998676576
37, -2.6719372325086055
38, -3.7778310968926916
36, -4.795215230538288
39, -3.93941706345452
39, -2.664171370310809
39, -5.295074861757305
39, -4.461432984656898
39, -3.1104019095505206
37, -7.59090651095192
39, -2.452527354712578
40, -7.148217966248427
37, -5.086220639848493
38, -4.8679681117293425
39, -6.738350681156483
40, -4.934143822101436
40, -7.247739336415913
40, -2.8984192506848814
40, -5.038977610749438
41, -6.256661974966768
38, -6.408817529184572
40, -4.275861442922272
41, -6.827852262096898
40, -4.976921423104387
38, -5.050246099248088
39, -4.371402799157979
41, -5.333839960478886
41, -4.107508726466249
41, -4.1298102584830385
41, -2.694188312029577
42, -8.77690938330424
39, -7.174297702213696
41, -3.7513565319260187
42, -9.41305687658918
42, -6.374920331878051
39, -7.038835808658917
42, -3.733416847502556
40, -3.1576223879128014
42, -3.34367743273239
42, -5.9496516580047025
43, -4.9783879854261075
40, -6.405884022325234
41, -9.781144526334195
40, -2.399567522734676
42, -6.501323709137547
43, -2.1485055836961977
43, -6.435241641655413
43, -7.0646663398721
43, -5.81943147299311
43, -3.129605199664796
44, -4.156212584648875
41, -2.4241443858698597
42, -4.251246740415219
44, -10.34785142122197
41, -7.491524267363831
43, -2.198911066965174
44, -4.250866053401295
44, -6.355277493504717
44, -7.399274554264631
44, -5.978481819424019
42, -5.902158659721805
43, -2.5674149498007215
45, -6.2869070995643765
45, -7.247122822205594
45, -1.6992842052155266
42, -6.493828837996848
45, -7.703986989371538
44, -6.926694434650166
45, -4.37060893678054
45, -7.206207376957539
43, -10.280925038866577
46, -10.60499365043874
44, -3.4982673198736
46, -7.192153681359996
46, -5.932939650979575
43, -4.397906412531334
46, -6.979598463109954
45, -8.036574046204176
46, -7.329765539225393
46, -4.487662931462008
44, -3.422942125827378
45, -3.5112668640811653
47, -7.327978297782482
47, -6.363920158925366
44, -1.3878982808885352
47, -5.3728760502575605
47, -4.29788663285968
47, -10.709617984785895
46, -3.372924209458123
45, -3.4684659479097046
47, -6.327761390272035
46, -2.718586298134115
48, -4.936353794304798
48, -4.855542273553817
48, -7.648166271551004
46, -4.37319156946439
45, -4.70828519802128
48, -5.098730947732933
48, -1.5342850508681545
47, -5.6047564854867815
47, -5.571037400779155
48, -5.91579688666058
49, -3.99477530006335
49, -4.467828985149968
49, -5.763419647233852
47, -4.881875418645826
49, -4.666017472998849
48, -2.6348080177424635
49, -3.922687474499031
49, -8.036626791995248
48, -4.195390094302211
46, -4.973656535079312
50, -3.5296697941480915
50, -7.999717733574507
50, -7.161324148685805
50, -6.641948574764781
49, -4.259417751443103
49, -4.286206880076905
50, -6.0425786576387255
50, -7.870547113362361
48, -6.7195735617455465
47, -7.511897520278954
51, -4.37858272441567
51, -6.657395065019707
51, -8.140378909710112
50, -6.871289185488407
51, -5.281855161204325
50, -4.789374589715156
51, -3.9676956873626974
51, -7.627615670468756
49, -6.431385465667932
52, -8.860715183239082
48, -6.466131182222386
52, -7.497508239141017
52, -7.734529477921791
51, -4.070897414214033
52, -9.344728144179468
51, -4.108841513230885
52, -3.1956341391399574
52, -8.095749854996846
53, -6.321839719682887
50, -9.974437975440715
49, -3.5272090883291387
52, -4.6232574539262625
53, -7.103041960614572
53, -7.423756627862211
53, -5.314635523716971
53, -7.355420633350817
52, -4.3091184286340924
51, -5.8552661225823615
54, -1.6833289856277254
53, -2.2917123175755263
50, -6.370110527276364
53, -12.406929382750029
53, -11.286426080882626
54, -6.526980332126493
54, -2.1648896494984826
52, -5.500718470295612
54, -4.770039435123151
51, -5.897576655783081
54, -6.657097318851172
55, -4.7111755144864675
54, -7.758842229885648
54, -5.890179631906997
55, -5.567078408720644
54, -5.955535871437872
55, -4.191687186881592
55, -4.113966263715575
52, -3.7692534081712057
55, -6.698365549354097
56, -7.271472649109586
53, -6.6261340106198645
55, -12.690459796145158
56, -6.534166372838224
55, -8.846634732530116
55, -4.40602238447286
56, -6.153722065991487
56, -7.393749241540368
56, -5.995616557209596
53, -9.253741654555213
57, -7.102957873121537
57, -2.794725229783408
54, -7.505977378553289
56, -7.898403770941842
56, -10.920595033678005
57, -3.649416881901983
56, -3.24981094647162
54, -2.8775464416179632
57, -3.411236764580818
57, -6.704922080515683
58, -9.004762409832892
57, -4.665221317326127
58, -2.5061679131681975
55, -9.468791213621405
58, -1.9458214726968859
57, -5.401631679580793
57, -4.200605812165738
58, -6.277825650316426
59, -2.2844284295991786
55, -3.2610377734396296
58, -4.2002625823078
59, -6.201884324275783
58, -5.178078963889197
56, -8.590877271437286
59, -8.962829123703221
58, -7.713392939899429
58, -4.277597085221715
59, -6.718455198088155
59, -3.4341853880781126
60, -5.027680456059988
56, -7.268013595418772
60, -4.842374554360175
59, -5.257365443289196
59, -7.817643467118453
59, -1.793950669307778
57, -2.4235236672848997
60, -5.156227299960165
60, -3.2614685307334996
60, -8.230319656693693
61, -5.512786936625748
61, -9.035844204986208
57, -12.012181411121896
60, -2.020801525805782
60, -5.922757420004603
60, -6.435146852117807
61, -4.5103818432169644
61, -5.192446458722117
58, -6.610458573054352
62, -5.36972047597344
61, -4.587715963914997
62, -3.7436606152337957
61, -2.6839185536186765
61, -3.6839267712600394
58, -8.390202469305688
61, -6.410242429975661
62, -12.412760468176243
62, -4.68849138437635
62, -5.590930590552201
59, -4.3097938040895185
63, -7.635183544842053
63, -6.78693987457587
62, -4.447001277556576
62, -5.1097437338095695
62, -5.442473739380367
63, -5.364249820119649
59, -5.840223634509893
63, -6.6110708828900195
63, -7.255073294672193
60, -5.101823456397286
64, -6.440304855383853
64, -8.447570014782206
63, -7.229235883573216
63, -11.395739439614196
60, -8.101688725300495
64, -5.342817064792288
63, -2.9255730132657556
64, -3.6808644576500016
64, -3.2586756793170535
61, -2.869530610236312
65, -6.030885145084377
65, -3.624103488770976
64, -5.71072125091612
61, -4.39560738402854
65, -0.6836334205741078
64, -9.057087381238373
64, -6.756990202851522
65, -5.629729706486871
66, -12.226694721312066
65, -3.6894077469425115
62, -8.765763586102247
62, -4.668942188893005
65, -6.197429598224222
66, -2.3866960208460513
65, -3.6103704722946013
65, -9.106283151255258
66, -9.555475099113371
66, -6.215199578798101
66, -6.624032587725709
67, -5.102087567568606
63, -6.002309921655297
67, -4.026826394681848
63, -5.936675046749785
66, -8.529626412646007
66, -3.6025323712959674
67, -2.7869865049129094
66, -5.643382457628978
67, -6.400541408790388
68, -6.850912874846286
64, -7.0242993744081685
68, -6.257373660930571
67, -6.24284792872438
64, -8.58068395620188
67, -3.5259286651397197
67, -7.9567845707094556
67, -5.876427886852632
68, -2.99642245938718
69, -5.594459971964478
68, -4.432316161329498
68, -5.923951462405723
65, -5.542643729891871
65, -3.624476531467355
69, -6.669939390117245
68, -9.703135412396607
68, -3.8427256196435997
68, -5.282506457059478
70, -4.763529916514499
69, -2.844966360225088
69, -3.4249369104917293
69, -4.072025715484231
70, -7.579793966531269
66, -11.204868474738882
69, -5.6830514969007115
66, -1.9560029392400973
69, -3.9693973124490536
69, -3.261561409191716
71, -4.267669410021127
70, -4.240269500415181
71, -5.8819249156019655
70, -4.472479405730762
70, -1.8996543812928264
70, -7.5533996668988745
67, -8.27697254447798
67, -2.056688538970252
70, -5.516031567209314
72, -3.1609782433167193
70, -4.594283579337027
68, -4.288462718185543
71, -7.3080789925554
72, -6.1669134825695275
71, -4.950291296275592
68, -3.5576816313738107
71, -4.56696011290658
71, -4.181996103309128
73, -1.7349055783451752
71, -5.4020991295988905
71, -4.436216674358758
72, -5.0790070795935955
69, -7.205536970308515
69, -8.506498912118072
72, -11.098096087160506
72, -7.134625605214951
72, -3.3420893257616355
73, -4.496256291034467
74, -5.484781214854057
72, -4.834049892549561
73, -8.572684177887098
72, -4.7542221954671104
70, -8.543013905969156
70, -4.903252752670977
74, -4.952888835378669
73, -1.831775516970861
73, -4.774132584954644
73, -4.430582047893573
75, -4.198988274572426
73, -5.436815033314888
74, -3.5289829522163245
74, -4.655260007128333
71, -4.1766011261990865
71, -11.005882302353779
73, -4.834797889021709
76, -3.8097564424875054
75, -5.917227138473956
74, -4.023809564761222
74, -7.604709090717994
75, -8.875199253914603
77, -6.946224137123777
74, -5.928455876521334
74, -5.026731031820425
75, -5.523577655277599
72, -5.882434027150701
72, -6.970485672160071
76, -7.472151273399979
75, -5.089846339661883
75, -5.09072696504349
76, -6.647511726860887
78, -3.8655981821812953
75, -6.4751239573867485
76, -7.718194335751816
75, -5.125640092152244
73, -5.7910550018202995
73, -5.853897025309385
76, -6.786400185756915
76, -6.163754850558374
77, -9.170004271262437
77, -2.04278390756491
77, -6.275180716444559
79, -3.746327335410689
76, -4.0903162740831815
74, -6.702289377551893
78, -5.342461221810381
74, -5.639268285924229
76, -5.070426333145088
77, -7.455441559670117
77, -5.965386721247093
78, -3.9454082973333833
77, -2.7922553507833947
80, -5.4196982596755605
78, -6.537739326860517
79, -7.30095487081581
75, -4.897500403715522
77, -3.3933838431615344
75, -3.437312678387315
78, -3.8322078031282496
78, -4.697515501242677
79, -11.120033749661975
79, -2.9998409981949874
78, -8.199825709559882
81, -9.153618676596643
78, -2.849204752090003
80, -15.578926718705375
76, -4.654401550267604
79, -1.1967375963781222
76, -3.2076521529742568
79, -7.574849239724849
79, -9.09523596574963
80, -5.99343181125416
80, -4.083415366416033
80, -6.155307115235218
77, -4.767263018989446
82, -6.574541747051451
79, -4.879327567606823
81, -6.141382226388373
77, -4.764407101953215
80, -7.683155077403504
81, -6.472450357324077
80, -2.5313009004050535
78, -5.441605727122719
83, -7.761429831375922
80, -3.2677861769716823
81, -7.482485244078292
81, -9.166384686903083
82, -12.146518825565284
78, -2.3935361561886945
82, -7.847731118774551
81, -2.206209861360744
81, -8.83364665479886
82, -6.055007935757161
82, -8.48761362561381
81, -3.8377044496616897
79, -3.6390588316234016
84, -6.89178512970018
83, -3.9212407874029283
79, -7.362720956609892
82, -6.27782335702117
83, -6.323661360554757
82, -6.529586662194739
83, -2.987805402430317
85, -6.470053481556658
83, -5.782044644725569
82, -1.2519463865788711
80, -6.53510891719198
80, -5.812326844263275
84, -2.5399428013939396
83, -2.258367422211902
84, -4.795220199344692
84, -4.210770461210344
84, -4.449113784711176
83, -6.009265868408805
86, -3.635979318298873
81, -7.996020559392053
81, -2.9877866738523244
85, -4.951729192406515
83, -8.378789120989477
84, -7.088230713147948
85, -2.5803827700904582
84, -5.070465701380463
85, -8.028721803218074
85, -5.940556448985178
82, -4.068976779429908
87, -5.270931813643016
85, -6.61442406278279
86, -5.220997984766782
84, -3.5044297864655407
82, -2.706844626379202
86, -5.3478814251683415
85, -8.371438345234576
86, -7.144655714270706
86, -5.2625853655273875
83, -4.167421065254772
88, -4.841798172817007
83, -3.4458517633051695
86, -10.609668150619814
87, -4.481702657069222
87, -3.934524318007428
85, -5.334391497990021
86, -4.379733194206751
87, -6.596222178267407
87, -2.5803510461726336
84, -4.198391253371868
84, -4.882623415117975
88, -5.44116465000014
89, -3.4113151188357023
86, -8.158093086765867
88, -7.996615287297341
87, -3.797619941731196
87, -3.838825106614338
88, -2.0652062197989727
89, -10.820235846307174
88, -3.125249467525509
85, -8.421363765361503
85, -5.223827146691587
90, -8.55809041125474
87, -6.533377097051297
89, -5.336861759205903
88, -6.69643421252541
88, -7.994639231210981
89, -1.8787819544417763
89, -8.264567345959845
86, -3.7186124799217293
90, -8.240582535218799
91, -6.2928994800908615
86, -5.065882550794097
88, -2.9786192260319564
90, -4.029788949947874
90, -9.24826450103152
89, -6.444550127134559
89, -6.9623498249929
92, -4.521387367191934
90, -5.683564048392356
91, -4.9284147883145115
87, -6.781265115443542
87, -5.743243617711497
91, -7.4299232988287915
89, -3.736382842711476
91, -8.49850830698434
90, -7.0295177677828296
90, -3.4131161200501934
91, -8.629881255082285
88, -4.20452390712537
93, -2.947429646001211
92, -4.785446557142706
88, -4.808202543837771
92, -4.282051429057393
92, -3.557436248780491
91, -5.064429748243955
90, -6.023079150219438
89, -4.775206611570249
91, -7.5155232200923345
92, -4.915350649623659
94, -7.9356189842804294
89, -5.811504315695024
93, -4.194545779428951
93, -5.660166703454945
93, -6.776014233719272
92, -6.408509463187354
91, -3.179319254411486
90, -2.022934290401889
92, -7.42390072324801
95, -3.0175146603677523
93, -5.382209761984626
94, -5.451460781306593
90, -3.6473154590078227
94, -10.428627395896333
94, -6.943437783377235
93, -12.398478971915747
91, -6.616877888715942
93, -5.395138596254862
92, -2.7383896671759693
96, -9.003791199288328
95, -10.576596539608559
94, -6.6725254627439945
91, -3.7772321646127325
95, -5.710788520910549
95, -5.604851657240265
92, -8.48600870114446
94, -10.385840239496465
94, -8.997329839880225
93, -4.972508358583467
96, -4.912993142091621
97, -4.103884937732264
95, -6.694615247164684
92, -8.771739913561877
96, -5.1764660128864035
96, -10.806448555176203
93, -2.923942098116727
95, -7.709418276989928
94, -3.355112185137724
96, -6.726489758047795
95, -7.200829217346115
97, -5.11321081403383
98, -6.065898794968901
93, -5.69539018985618
97, -8.625749501447157
96, -3.9046308320170744
97, -3.8749013166381423
94, -1.359801209522141
95, -9.175453905242948
96, -5.064901020420847
99, -2.176755159197689
97, -8.642959535760605
98, -5.648695258325381
97, -6.275317931944549
94, -2.8324438214325607
98, -9.430497769292582
96, -5.165992915628709
98, -4.6728289421506695
95, -6.0436244002794055
97, -5.577009141648256
98, -9.127596655228874
98, -6.300021690751042
100, -5.2319052792612615
99, -5.312601753033127
99, -4.825265042822508
95, -4.890123255065076
97, -5.579675479609261
99, -3.1191619152455394
100, -6.8123992741720425
96, -5.267626792950802
98, -7.7825193568453495
99, -5.047975736936112
98, -5.0631481784069035
99, -2.884117879198758
96, -3.0539853171770655
101, -5.259793278542695
100, -5.19399328637812
100, -2.1024741789286274
101, -5.359709859927434
97, -4.191153995732564
97, -3.3110858848631968
99, -2.257234916567052
100, -4.962212991708793
99, -5.562765102543738
100, -11.501753128675839
101, -7.049371207104625
101, -7.025087121331575
98, -7.815849728005632
98, -5.809042845444319
101, -6.500309690414709
101, -6.133518516925949
100, -6.939637028691999
100, -8.767181224791665
99, -11.915407408681485
99, -10.76723893938917
101, -3.0276709006630482
101, -9.342878983764422
100, -5.996353469421292
100, -6.1585372216154655
101, -6.928167876857701
101, -4.149445452538821
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
#GA 4.1.0RePy - GRAPH 'avg_quality' OPENED, 09.03.22-20:03:47#
0, -135.1508674867108
0, -127.96146403969695
0, -133.03011593563102
0, -112.17547702930356
0, -124.16908255767393
0, -137.87740024404485
0, -137.80013645106823
0, -109.96049856239057
0, -121.19200232387253
0, -136.7803787568238
1, -70.21388169845271
1, -77.51469228277477
1, -75.20153822779876
1, -67.92517761094052
1, -67.53359515120937
1, -85.88806292037778
1, -71.22962153939356
1, -89.12278455733194
1, -80.77471317087249
1, -84.1855916080682
2, -42.31968822650876
2, -42.71131808100874
2, -38.61156432358777
2, -58.39983163390599
2, -36.68515043539165
2, -39.9251630867372
2, -40.323479043581195
2, -51.65043625164712
2, -44.8037883326692
2, -46.652131570171484
3, -28.143929312995628
3, -18.329682025056158
3, -32.79682130165528
3, -17.583379533677515
3, -22.419749667711066
3, -23.980883281781967
3, -42.660234928989055
3, -27.411251671000038
3, -28.642636181128296
3, -22.758244635361283
4, -20.922917377349314
4, -9.571478095685832
4, -16.183626636242277
4, -14.144432309090334
4, -10.585376038313319
4, -13.300616609764269
4, -22.280087221663234
4, -9.656825372254376
4, -14.942269731655788
4, -15.715310516956528
5, -6.2417616712007025
5, -13.132553995159231
5, -11.198843605862804
5, -12.67693890948076
5, -7.599097397205427
5, -12.970301061891258
5, -10.83381597643257
5, -10.14725382669759
5, -14.767934954501975
5, -12.67777825554763
6, -12.489039290836658
6, -6.280670483092203
6, -12.307643075347173
6, -8.016469491050891
6, -9.648829416098357
6, -7.6855997301555865
6, -9.050713549266193
6, -9.058700714457029
6, -11.360814463813231
6, -9.693879290492664
7, -6.756052245088283
7, -9.928598825259499
7, -9.363301542527724
7, -6.867725022431294
7, -5.363298484800705
7, -11.72304159750948
7, -3.8032572437075305
8, -6.860636064552437
7, -8.105003301389637
7, -6.59042587448604
7, -8.921939669134817
8, -11.64935572736159
8, -3.645163965833721
8, -8.803317442708229
9, -6.814559176095452
8, -4.573182205175394
8, -8.148244530251908
8, -4.00271698156477
8, -8.98360484993727
8, -8.83190298596599
9, -6.960949003802093
8, -8.325814382592359
9, -10.5530440150249
9, -8.785973632837695
10, -7.640008638078828
9, -5.89540796289448
9, -6.177206173933066
9, -7.15508485670249
10, -4.834170290550954
9, -2.453663682516202
